,0,1,2
0,0.0,278.33,61.73
1,0.5,280.6,61.66
2,1.0,282.88,61.58
3,1.5,285.18,61.51
4,2.0,287.49,61.44
5,2.5,289.81,61.36
6,3.0,292.15,61.29
7,3.5,294.5,61.22
8,4.0,296.87,61.14
9,4.5,299.24,61.07
10,5.0,301.64,60.99
11,5.5,304.04,60.92
12,6.0,306.46,60.84
13,6.5,308.9,60.77
14,7.0,311.35,60.69
15,7.5,313.81,60.62
16,8.0,316.29,60.54
17,8.5,318.78,60.46
18,9.0,321.28,60.39
19,9.5,323.8,60.31
20,10.0,326.34,60.24
21,10.5,328.88,60.16
22,11.0,331.45,60.08
23,11.5,334.02,60.0
24,12.0,336.62,59.93
25,12.5,339.22,59.85
26,13.0,341.84,59.77
27,13.5,344.48,59.69
28,14.0,347.13,59.62
29,14.5,349.79,59.54
30,15.0,352.47,59.46
31,15.5,355.17,59.38
32,16.0,357.88,59.3
33,16.5,360.6,59.22
34,17.0,363.34,59.14
35,17.5,366.1,59.06
36,18.0,368.87,58.98
37,18.5,371.65,58.9
38,19.0,374.45,58.82
39,19.5,377.27,58.74
40,20.0,380.1,58.66
41,20.5,382.95,58.58
42,21.0,385.81,58.49
43,21.5,388.69,58.41
44,22.0,391.58,58.33
45,22.5,394.49,58.25
46,23.0,397.42,58.16
47,23.5,400.36,58.08
48,24.0,403.32,58.0
49,24.5,406.29,57.91
50,25.0,409.28,57.83
51,25.5,412.28,57.75
52,26.0,415.3,57.66
53,26.5,418.34,57.58
54,27.0,421.39,57.49
55,27.5,424.46,57.41
56,28.0,427.54,57.32
57,28.5,430.65,57.24
58,29.0,433.76,57.15
59,29.5,436.9,57.06
60,30.0,440.05,56.98
61,30.5,443.22,56.89
62,31.0,446.4,56.8
63,31.5,449.6,56.71
64,32.0,452.82,56.63
65,32.5,456.05,56.54
66,33.0,459.3,56.45
67,33.5,462.57,56.36
68,34.0,465.86,56.27
69,34.5,469.16,56.18
70,35.0,472.48,56.09
71,35.5,475.82,56.0
72,36.0,479.17,55.91
73,36.5,482.54,55.82
74,37.0,485.93,55.73
75,37.5,489.33,55.64
76,38.0,492.76,55.54
77,38.5,496.2,55.45
78,39.0,499.66,55.36
79,39.5,503.13,55.26
80,40.0,506.62,55.17
81,40.5,510.14,55.08
82,41.0,513.67,54.98
83,41.5,517.21,54.89
84,42.0,520.78,54.79
85,42.5,524.36,54.69
86,43.0,527.96,54.6
87,43.5,531.58,54.5
88,44.0,535.22,54.4
89,44.5,538.88,54.31
90,45.0,542.55,54.21
91,45.5,546.24,54.11
92,46.0,549.96,54.01
93,46.5,553.69,53.91
94,47.0,557.43,53.81
95,47.5,561.2,53.71
96,48.0,564.99,53.61
97,48.5,568.79,53.51
98,49.0,572.62,53.41
99,49.5,576.46,53.3
100,50.0,580.32,53.2
101,50.5,584.21,53.1
102,51.0,588.11,52.99
103,51.5,592.03,52.89
104,52.0,595.97,52.78
105,52.5,599.93,52.67
106,53.0,603.91,52.57
107,53.5,607.9,52.46
108,54.0,611.92,52.35
109,54.5,615.96,52.24
110,55.0,620.02,52.13
111,55.5,624.1,52.03
112,56.0,628.19,51.91
113,56.5,632.31,51.8
114,57.0,636.45,51.69
115,57.5,640.61,51.58
116,58.0,644.79,51.46
117,58.5,648.99,51.35
118,59.0,653.21,51.24
119,59.5,657.45,51.12
120,60.0,661.71,51.0
121,60.5,665.99,50.89
122,61.0,670.3,50.77
123,61.5,674.62,50.65
124,62.0,678.97,50.53
125,62.5,683.33,50.41
126,63.0,687.72,50.29
127,63.5,692.13,50.16
128,64.0,696.56,50.04
129,64.5,701.02,49.92
130,65.0,705.49,49.79
131,65.5,709.99,49.66
132,66.0,714.51,49.54
133,66.5,719.05,49.41
134,67.0,723.61,49.28
135,67.5,728.2,49.15
136,68.0,732.8,49.01
137,68.5,737.43,48.88
138,69.0,742.09,48.74
139,69.5,746.76,48.61
140,70.0,751.46,48.47
141,70.5,756.18,48.33
142,71.0,760.93,48.19
143,71.5,765.7,48.05
144,72.0,770.49,47.91
145,72.5,775.3,47.76
146,73.0,780.14,47.62
147,73.5,785.0,47.47
148,74.0,789.89,47.32
149,74.5,794.8,47.17
150,75.0,799.74,47.01
151,75.5,804.7,46.86
152,76.0,809.68,46.7
153,76.5,814.69,46.54
154,77.0,819.72,46.38
155,77.5,824.78,46.22
156,78.0,829.87,46.05
157,78.5,834.98,45.88
158,79.0,840.11,45.71
159,79.5,845.27,45.54
160,80.0,850.46,45.36
161,80.5,855.67,45.18
162,81.0,860.92,45.0
163,81.5,866.18,44.81
164,82.0,871.48,44.62
165,82.5,876.8,44.43
166,83.0,882.15,44.23
167,83.5,887.52,44.03
168,84.0,892.93,43.83
169,84.5,898.36,43.62
170,85.0,903.82,43.4
171,85.5,909.31,43.18
172,86.0,914.83,42.96
173,86.5,920.38,42.73
174,87.0,925.96,42.49
175,87.5,931.57,42.24
176,88.0,937.21,41.99
177,88.5,942.88,41.73
178,89.0,948.58,41.46
179,89.5,954.32,41.18
180,90.0,960.08,40.89
181,90.5,965.89,40.58
182,91.0,971.72,40.26
183,91.5,977.59,39.93
184,92.0,983.49,39.58
185,92.5,989.43,39.2
186,93.0,995.41,38.8
187,93.5,1001.4,38.37
188,94.0,1007.5,37.9
189,94.5,1013.6,37.38
190,95.0,1019.7,36.8
191,95.5,1025.9,36.14
192,96.0,1032.1,35.34
193,96.5,1038.4,34.32
194,97.0,1044.8,32.82
